Date,Open,High,Low,Close,Volume
2020-08-18 00:00:00+07:00,5669.291045566774,5686.993749846452,5576.351848098467,5629.4599609375,81563500
2020-08-19 00:00:00+07:00,5629.460308056871,5673.717071484992,5585.203544628752,5602.90625,58793500
2020-08-24 00:00:00+07:00,5611.757776932403,5647.163188774248,5558.649659169636,5589.62939453125,66882500
2020-08-25 00:00:00+07:00,5594.055626472898,5647.163749509034,5580.778595713865,5633.88671875,49211000
2020-08-26 00:00:00+07:00,5651.5893928214955,5656.015069714856,5580.778562527726,5611.75830078125,42983000
2020-08-27 00:00:00+07:00,5633.885796934185,5841.892578125,5611.757415956439,5841.892578125,68326000
2020-08-28 00:00:00+07:00,5806.4864198421865,5841.891824841224,5686.993177970434,5748.95263671875,52292500
2020-08-31 00:00:00+07:00,5753.37906187749,5788.784471489043,5554.2236328125,5554.2236328125,97032000
2020-09-01 00:00:00+07:00,5558.650504457439,5771.0830078125,5523.245087231595,5771.0830078125,67446000
2020-09-02 00:00:00+07:00,5771.081214792152,5806.486621017872,5633.885265667493,5695.8447265625,66065000
2020-09-03 00:00:00+07:00,5722.399659329928,5753.37939453125,5576.352336237981,5753.37939453125,68208500
2020-09-04 00:00:00+07:00,5709.122061893858,5709.122061893858,5545.372049265894,5647.16259765625,80613500
2020-09-07 00:00:00+07:00,5607.331958998359,5629.460340841289,5487.83869704654,5563.0751953125,64249500
2020-09-08 00:00:00+07:00,5563.074298139059,5629.459432961721,5563.074298139059,5607.3310546875,39649000
2020-09-09 00:00:00+07:00,5576.352363140512,5594.055069055244,5496.690186524219,5527.669921875,49285000
2020-09-10 00:00:00+07:00,5505.5422359079175,5505.5422359079175,5142.63671875,5142.63671875,175735000
2020-09-11 00:00:00+07:00,5133.784431890347,5288.6831000939355,4974.460087452371,5226.7236328125,403032500
2020-09-14 00:00:00+07:00,5310.812080320248,5412.602645193053,5297.535050119447,5355.06884765625,138115000
2020-09-15 00:00:00+07:00,5346.216923528157,5399.325038662542,5186.892578125,5186.892578125,170087000
2020-09-16 00:00:00+07:00,5186.892214673913,5195.743566576087,5085.101667798913,5089.52734375,158565500
2020-09-17 00:00:00+07:00,5089.5274489574285,5182.466645851434,5014.29095623371,5093.953125,138796000
2020-09-18 00:00:00+07:00,5045.271486109569,5076.251223304979,4930.203890812333,4983.31201171875,316912000
2020-09-21 00:00:00+07:00,4992.16333073149,5076.251188252676,4952.332240326717,4961.18359375,112443000
2020-09-22 00:00:00+07:00,4885.9462801032105,4925.7773639084,4806.284112492833,4823.98681640625,163442500
2020-09-23 00:00:00+07:00,4823.986512616371,4943.479756506868,4801.858134118132,4872.6689453125,100517000
2020-09-24 00:00:00+07:00,4806.284981383436,4899.22419373063,4770.879567155935,4819.56201171875,88618500
2020-09-25 00:00:00+07:00,4850.540347175802,4978.884936653994,4832.83764517881,4965.60791015625,100705000
2020-09-28 00:00:00+07:00,5001.013256636729,5040.844335671889,4868.242993186197,4881.52001953125,93522000
2020-09-29 00:00:00+07:00,4934.628405107573,4987.73651350335,4832.837864015668,4872.6689453125,117778500
2020-09-30 00:00:00+07:00,4925.778219413053,4925.778219413053,4797.43359375,4797.43359375,107377000
2020-10-01 00:00:00+07:00,4854.96711289904,4930.20361328125,4850.54143640597,4930.20361328125,56893000
2020-10-02 00:00:00+07:00,4921.351378008629,4925.777053708277,4815.135161217076,4872.6689453125,66848000
2020-10-05 00:00:00+07:00,4881.521100914996,4921.352188773777,4832.8386601987095,4885.94677734375,58291000
2020-10-06 00:00:00+07:00,4983.311045435855,5058.547535464638,4956.756990131579,5045.2705078125,141955500
2020-10-07 00:00:00+07:00,4956.757167680278,5093.953125,4939.054463509991,5093.953125,89937500
2020-10-08 00:00:00+07:00,5124.933384245242,5133.784737240484,5054.122560283305,5116.08203125,77384500
2020-10-09 00:00:00+07:00,5089.527867965368,5111.65625,5062.97380952381,5111.65625,54250500
2020-10-12 00:00:00+07:00,5169.189768360376,5200.169501561166,5160.338416017293,5182.466796875,82918500
2020-10-13 00:00:00+07:00,5169.189768360376,5186.892473046541,5107.230301958796,5182.466796875,48250500
2020-10-14 00:00:00+07:00,5169.189254502118,5222.29736328125,5142.635200112553,5222.29736328125,83117500
2020-10-15 00:00:00+07:00,5200.169495209188,5204.595171375325,5098.378943388073,5120.50732421875,82067000
2020-10-16 00:00:00+07:00,5120.507286919487,5124.932963053385,5071.824849446614,5098.37890625,89051500
